GESTION_DESC,count,mean,median,std,min,max,grado
Parroquial,9880,0.0061,0.0,0.04,0.0,1.0,G1
Privada,720,0.0041,0.0,0.017,0.0,0.1692,G1
Pública,19430,0.0096,0.0,0.0375,0.0,0.7778,G1
Parroquial,9880,0.006,0.0,0.0341,0.0,1.0,G2
Privada,720,0.0057,0.0,0.03,0.0,0.5,G2
Pública,19430,0.0134,0.0,0.046,0.0,1.0,G2
Parroquial,9880,0.0069,0.0,0.041,0.0,1.0,G3
Privada,720,0.0082,0.0,0.0315,0.0,0.28,G3
Pública,19430,0.0169,0.0,0.0531,0.0,0.7619,G3
Parroquial,9880,0.007,0.0,0.0405,0.0,1.0,G4
Privada,720,0.0088,0.0,0.0336,0.0,0.35,G4
Pública,19430,0.0219,0.0,0.0638,0.0,1.0,G4
Parroquial,9880,0.0064,0.0,0.0514,0.0,1.0,G5
Privada,720,0.008,0.0,0.0313,0.0,0.3333,G5
Pública,19430,0.0221,0.0,0.0678,0.0,1.0,G5
