REGION_NAT,count,mean,median,std,min,max,grado
Costa,12138,0.008,0.0,0.0342,0.0,1.0,G1
Selva,6081,0.0127,0.0,0.0488,0.0,1.0,G1
Sierra,11811,0.0065,0.0,0.0353,0.0,1.0,G1
Costa,12138,0.009,0.0,0.0354,0.0,1.0,G2
Selva,6081,0.0169,0.0,0.0557,0.0,0.6429,G2
Sierra,11811,0.0096,0.0,0.0404,0.0,1.0,G2
Costa,12138,0.0105,0.0,0.0406,0.0,1.0,G3
Selva,6081,0.0201,0.0,0.0629,0.0,0.7308,G3
Sierra,11811,0.013,0.0,0.0491,0.0,1.0,G3
Costa,12138,0.0123,0.0,0.0437,0.0,1.0,G4
Selva,6081,0.0245,0.0,0.073,0.0,1.0,G4
Sierra,11811,0.0172,0.0,0.0592,0.0,1.0,G4
Costa,12138,0.0116,0.0,0.0519,0.0,1.0,G5
Selva,6081,0.024,0.0,0.0783,0.0,1.0,G5
Sierra,11811,0.0179,0.0,0.0631,0.0,1.0,G5
