SEXO_DESC,count,mean,median,std,min,max,grado
Femenino,514,0.0037,0.0,0.0127,0.0,0.1429,G1
Masculino,268,0.0034,0.0,0.0102,0.0,0.08,G1
Mixto,29248,0.0085,0.0,0.0385,0.0,1.0,G1
Femenino,514,0.006,0.0,0.0265,0.0,0.5,G2
Masculino,268,0.0055,0.0,0.0167,0.0,0.1134,G2
Mixto,29248,0.0109,0.0,0.0426,0.0,1.0,G2
Femenino,514,0.0074,0.0,0.0252,0.0,0.2766,G3
Masculino,268,0.0054,0.0,0.0164,0.0,0.1176,G3
Mixto,29248,0.0136,0.0,0.0498,0.0,1.0,G3
Femenino,514,0.0096,0.0,0.0318,0.0,0.3333,G4
Masculino,268,0.0062,0.0,0.0199,0.0,0.1724,G4
Mixto,29248,0.0169,0.0,0.0576,0.0,1.0,G4
Femenino,514,0.0098,0.0,0.0376,0.0,0.5,G5
Masculino,268,0.0079,0.0,0.0245,0.0,0.1765,G5
Mixto,29248,0.0168,0.0,0.0632,0.0,1.0,G5
